textID,speaker,type,ChineseTraditional,English,French,Japanese,Deutsch,// Formula 用法
// Comment,abc,,zh-tw,en,fr,ja-jp,de,
ChineseTraditional,,,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,
English,,,English,English,English,English,English,
French,,,French,French,French,French,French,
Japanese,,,日本語,日本語,日本語,日本語,日本語,
InfoBest,,,最佳,Best,Meilleur,一番,Am besten,
InfoLatest,,,上一次,Latest,Dernier,最新,Neueste,
InfoTotal,,,總合,Total,Total,合計,Gesamt,
InfoTotalShadowHint,,,"<sprite name=""info-gray""> (僅計算步數轉換距離)","<sprite name=""info-gray""> (steps only)","<sprite name=""info-gray""> (steps only)","<sprite name=""info-gray""> (steps only)","<sprite name=""info-gray""> (steps only)",
InforBestShadowHint,,,(飛行距離),(flying),(flying),(flying),(flying),
InfoRemainHardtime,,,通過困境,to get through hard time,to get through hard time,to get through hard time,to get through hard time,
DistanceUnit,,,m,m,m,m,M,
//Settings,,,,,,,,
SectionTitleAudio,,,,Audio,,,,new
Music,,,音樂,Music,Musique,ミュージック,Musik,
Sounds,,,音效,Sounds,Sons,サウンド,Töne,
SectionTitleGraphic,,,,Graphic Quality,,,,new
SectioinTitleAccount,,,,Account,,,,new
BtnRemoveGoogleFit,,,,Deactivate Google Fit,,,,
CameraPermission,,,,Allow Sky Dream to  access your camera under Sky Dream in your device's settings.,,,,
RankingAddress,,,,"Visit <link=""https://skydream.skymon.io/""><color=#FB6039>https://skydream.skymon.io/</color></link> to find more information. ",,,,
//Btn,,,,,,,,
Skymon,,,Skymon,Skymon,Skymon,Skymon,Skymon,
Settings,,,設定,Settings,Paramètre,設定,Einstellungen,
BtnOk,,,確認,OK,D'ACCORD,OK,OK,
BtnCancel,,,取消,Cancel,Annuler,キャンセル,Stornieren,
BtnRetry,,,重試,Retry,Recommencez,リトライ,Wiederholen,
BtnLater,,,稍後,Later,,,,
Play,,,Play,Play,Jouer,遊ぶ,Spielen,
SyncSkymon,,,召喚Skymon,Summon Skymon,Invoquer Skymon,スカイモンを召喚します,Beschwörung Skymon,
DisconnectWallet,,,斷開連結,Disconnect Wallet,Débrancher le portefeuille,ウォレットを切断します,Brieftasche trennen,
ImportSteps,,,轉換步數,Convert Steps,Convertir les étapes,歩数を交換します,Schritte konvertieren,
Home,,,主畫面,Home,Maison,ホーム,Heim,
Restart,,,重來,Restart,Redémarrage,やり直す,Neu starten,
PlayAgain,,,再試一次,Play Again,Rejouer,もう一度プレイ,Nochmal abspielen,
Resume,,,繼續,Resume,CV,再開,Fortsetzen,
StepsToDistance,,,$currSteps$ → + $currStepsToDistance$公尺,$currSteps$ → + $currStepsToDistance$ m,$currSteps$ → + $currStepsToDistance$,$currSteps$ → + $currStepsToDistance$,$currSteps$ → + $currStepsToDistance$,
Reset,,,恢復預設,Default,Défaut,デフォルト,Standard,
BtnRemove,,,,Remove,,,,remove Google account
BtnDisconnect,,,,Disconnect,,,,disconnect wallet
BtnQualityLow,,,,Lite,,,,
BtnQualityNormal,,,,Medium,,,,
BtnQualityHigh,,,,High,,,,
BtnVisit,,,,Visit,,,,
BtnMySkymon,,,,My Skymon,,,,
BtnGlobal,,,,Golbal,,,,
BtnGoogleFit,,,,Connect to Google Fit,,,,
// messages,,,,,,,,
GoogleFitLogin,,,"<sprite name=""info-gray"">","<sprite name=""info-gray"">",,,,
GoogleFitLoginDesc,,,,"Welcome to Sky Dream ! 
Please connect to Google Fit. 
The ""Convert Steps"" feature uses Google Fit's physical activity profile. Please connect to the Internet and install Google Fit, and confirm the device's access permission settings.",,,,
